Rad Flow,Fpv Close,Fpv Open,High,Bypass,Bpv Close,Bpv Open,label
83,0,-28,8,4,112,108,0
86,2,56,0,29,29,0,0
77,3,-18,0,41,96,54,0
98,0,38,-11,42,59,18,1
79,2,50,0,29,30,0,0
79,-3,34,-6,42,46,4,0
95,0,54,-8,40,41,2,0
97,0,46,20,41,50,10,1
104,0,28,8,67,75,8,0
76,0,42,20,35,35,0,0
81,0,-2,0,25,83,58,1
79,3,42,0,37,38,0,0
86,0,44,-4,40,42,2,0
95,0,18,9,58,77,20,0
75,0,34,-6,37,41,4,0
88,8,50,0,38,39,0,0
81,-4,52,16,30,30,0,0
81,7,42,-19,38,40,2,0
88,0,44,5,45,44,0,0
78,0,54,-6,23,24,2,0
81,-7,42,0,38,40,2,0
75,0,28,3,38,46,8,0
84,0,28,5,47,55,8,0
84,0,42,-17,41,43,2,0
81,0,42,0,39,40,0,0
76,0,42,14,35,35,0,0
104,0,24,-27,66,80,14,0
86,0,44,-8,41,42,2,0
96,2,38,0,41,57,16,1
81,0,36,-14,43,44,2,0
79,0,10,-12,23,68,46,1
77,0,50,6,28,28,0,0
98,0,50,-11,42,49,6,1
77,0,28,0,22,48,26,1
78,0,6,-1,23,73,50,1
77,0,44,-11,32,34,2,0
97,0,54,11,41,42,2,0
78,0,30,-1,41,47,6,0
76,-2,38,-10,35,37,2,0
91,0,18,13,53,73,20,0
83,0,28,-30,46,54,8,0
91,0,6,1,53,86,34,0
78,0,38,-19,37,39,2,0
81,0,42,0,38,39,2,0
85,1,56,0,29,28,0,0
81,0,24,18,44,57,14,0
90,0,50,13,42,41,0,0
98,0,30,-1,61,67,6,0
97,0,38,0,59,59,0,0
83,2,36,-4,45,46,2,0
76,0,28,17,39,48,8,0
111,0,62,0,48,49,2,0
76,0,36,26,40,40,0,0
77,0,46,-6,29,31,2,0
103,-4,26,0,66,77,12,0
83,0,44,-3,38,39,2,0
80,0,50,3,31,31,0,0
78,0,54,31,25,24,0,0
81,0,-4,30,25,86,60,1
79,0,44,0,34,35,0,0
78,-3,44,-6,33,34,2,0
102,0,38,0,61,63,2,0
96,0,42,-5,53,55,2,0
87,0,50,22,38,38,0,0
106,-1,50,11,57,57,0,0
106,0,26,3,68,80,12,0
82,0,52,4,31,30,0,0
80,0,52,-5,27,28,2,0
76,0,24,28,39,53,14,0
79,0,8,24,42,71,30,0
78,0,2,-23,23,75,52,1
81,0,50,0,32,32,0,0
95,0,52,-7,39,44,4,1
82,0,44,-20,37,38,2,0
83,0,44,-23,37,39,2,0
86,0,42,-15,43,45,2,0
85,6,-24,0,4,111,106,0
96,-2,50,-3,40,47,6,1
77,-1,50,0,27,28,2,0
81,0,44,-9,35,37,2,0
83,0,-38,10,4,122,118,0
95,8,10,14,57,84,28,0
88,0,54,0,33,33,0,0
89,0,42,-7,46,48,2,0
78,0,52,20,27,26,0,0
80,0,54,0,26,26,0,0
83,0,-38,24,4,122,118,0
87,0,44,-29,41,43,2,0
86,0,44,11,43,42,0,0
87,0,54,3,34,33,0,0
86,0,50,-22,35,37,2,0
79,2,42,6,38,38,0,0
79,-1,36,-1,42,43,0,0
88,0,42,0,47,47,0,0
81,0,42,-19,38,40,2,0
81,0,36,0,44,44,0,0
80,0,46,-14,31,34,2,0
77,0,38,-10,22,39,16,1
93,0,46,0,46,47,0,0
86,-1,46,-2,40,39,0,0
93,-2,38,0,55,55,0,0
97,0,56,0,39,40,2,0
88,-6,46,0,40,41,2,0
95,0,56,27,40,39,0,0
